ax,ay,az,gx,gy,gz
0.538818,0.420898,0.690186,-61.839695,9.312977,-133.419846
0.430420,0.378906,0.780518,-75.022903,20.908398,-102.793892
0.441650,0.438477,0.737061,-88.610687,23.702290,-77.015266
0.450684,0.415771,0.712891,-104.900764,17.717558,-82.786263
0.409912,0.274902,0.707275,-115.145035,11.717557,-91.000000
0.400879,0.143555,0.715820,-120.274811,12.419847,-93.351143
0.423340,0.135742,0.713135,-124.412216,19.106871,-95.977097
0.397217,0.165039,0.741699,-126.366409,25.053434,-93.480919
0.351563,0.205322,0.747314,-127.145035,27.320610,-89.068703
0.350586,0.275879,0.721680,-140.122131,27.778625,-91.106873
0.306396,0.290527,0.691650,-163.038162,25.152672,-92.465652
0.260010,0.210937,0.654785,-183.687027,18.839695,-85.923668
0.197998,0.055176,0.647949,-199.885498,8.702291,-73.206108
0.217773,-0.072754,0.734863,-198.877869,5.229008,-62.129772
0.257568,-0.099609,0.756348,-185.595413,5.015267,-57.580154
0.277100,-0.100342,0.881592,-159.732819,8.534351,-52.671757
0.319336,-0.063721,0.987793,-130.793900,10.954199,-46.488548
0.377930,0.041016,0.989746,-108.641220,17.717558,-41.580154
0.331055,0.093994,0.919678,-101.374046,23.160305,-35.290077
0.251221,0.029297,0.945801,-92.274811,17.160305,-23.648855
0.307373,-0.021973,1.031738,-77.305344,14.381680,-16.961832
0.380127,0.027832,0.993652,-66.870232,19.511450,-24.358778
0.369385,0.064209,0.988770,-61.755726,28.320610,-26.152672
0.333008,0.120117,1.019043,-60.465649,28.297710,-24.847328
0.343994,0.173096,1.107422,-55.908398,25.732824,-23.030535
0.387695,0.195801,1.198975,-42.595421,28.969465,-22.358778
0.417480,0.204102,1.273438,-24.297710,39.717556,-30.641222
0.386475,0.233398,1.221436,-7.618320,50.335876,-42.374046
0.298584,0.252930,1.145264,-2.083969,56.282444,-51.229008
0.219971,0.229004,1.017578,-3.427481,53.854961,-56.442749
0.165771,0.200195,0.972168,-9.053435,49.770992,-60.679390
0.166504,0.179199,1.007324,-8.763359,46.282444,-64.366409
0.184814,0.196777,1.071777,-7.244275,46.587788,-70.152672
0.171143,0.226074,1.127686,-5.625954,48.091602,-74.099236
0.148193,0.217285,1.128662,0.404580,47.526718,-80.213737
0.165771,0.111084,1.184082,19.167938,48.206108,-96.709923
0.214111,-0.026123,1.194336,54.587788,56.770992,-121.595421
0.120850,-0.038086,1.036865,72.061066,62.122139,-135.282440
-0.003174,-0.042480,0.984375,86.198471,60.076336,-120.381676
-0.025146,-0.056641,0.919922,100.343513,53.160305,-108.183205
0.024414,-0.099365,0.919434,120.343513,46.206108,-108.389313
-0.000732,-0.176270,0.888916,133.427475,45.389313,-93.938934
-0.046631,-0.066162,0.780762,125.671753,43.419846,-76.664124
-0.000977,0.052734,0.729004,114.740456,21.549618,-77.404579
0.059570,0.075928,0.784668,102.175575,11.946565,-79.297707
-0.001709,-0.017578,0.744629,97.213737,-0.641221,-59.564884
0.019531,-0.101563,0.761475,97.977097,-7.824428,-36.954197
0.064697,-0.070557,0.771240,92.053436,-11.541985,-14.015267
0.106934,0.032715,0.687500,76.145035,-17.419847,1.763359
0.175293,0.101563,0.695312,50.549618,-24.442749,2.671756
0.210693,0.058838,0.768799,25.022902,-27.549618,7.847328
0.212891,-0.044434,0.776123,4.038168,-27.221375,20.267176
0.216064,-0.076172,0.764160,-19.908398,-22.251909,43.358780
0.240234,-0.018555,0.874268,-37.114502,-10.427481,67.961830
0.235352,0.047607,0.611816,-57.992367,-11.954199,82.984734
0.240723,0.011475,0.572998,-88.213737,-16.297710,94.450378
0.215088,-0.034424,0.559814,-109.801529,-23.320610,112.030533
0.204834,-0.070557,0.792236,-117.236641,-31.694656,129.061066
0.231934,-0.077637,0.743408,-111.679390,-39.030533,141.152664
0.260742,-0.144287,0.735596,-114.603050,-48.503819,147.442749
0.264648,-0.241455,0.762695,-111.503815,-54.015266,155.068695
0.288086,-0.316650,0.845947,-98.083969,-56.534351,163.900757
0.345215,-0.322021,0.917969,-66.419846,-56.717556,171.167938
0.419922,-0.296631,1.045166,-20.534351,-49.251907,173.473282
0.493652,-0.205322,1.043213,31.610687,-32.801525,169.595413
0.509033,-0.090820,1.060791,84.389313,-7.893130,159.977097
0.452393,0.041992,0.996826,121.748093,12.267176,148.717560
0.349365,0.187012,0.902588,137.717560,19.312977,142.145035
