ax,ay,az,gx,gy,gz
0.768555,0.478271,0.464600,2.175573,3.519084,1.190840
1.755127,0.052734,-2.000000,-2.793893,-106.351143,-8.809160
1.690430,-0.071289,-2.000000,-9.923664,-97.152672,-9.717557
1.959473,0.489258,-2.000000,17.145039,-94.145035,-7.595420
-0.471436,0.451904,1.984314,44.877861,8.503817,15.549619
0.619141,-0.523926,-0.467041,-4.114504,84.221375,20.755726
1.984314,0.933350,-2.000000,-24.694656,-60.572517,-5.908397
-0.154541,0.906494,1.984314,42.030533,-34.335876,2.473282
0.835937,-0.582520,-1.134521,-6.404580,78.770996,16.183207
1.822998,1.431396,-1.214600,-1.725191,-94.671753,-13.748092
-0.465820,-0.084473,1.984314,42.145039,47.488548,13.816793
1.984314,0.384277,-2.000000,-22.465649,-4.969466,-9.045801
0.131836,1.161865,1.984314,49.435116,-59.679390,-7.862596
0.863281,-0.480957,-0.933594,8.824428,68.603050,7.786260
1.771729,1.585938,-0.528320,29.000000,-109.297707,-22.076336
-0.402344,-0.056396,1.984314,50.633587,52.557251,4.603054
1.984314,0.615479,-2.000000,1.007634,-55.885498,-28.106871
-0.042236,1.284424,1.984314,70.786263,-47.511452,-23.984734
0.860107,-0.582275,-1.252686,18.007633,26.618320,-14.442748
1.724854,1.800781,-0.404785,44.068703,-144.206100,-39.030533
-0.384277,-0.138672,1.984314,60.755726,7.969466,-10.412213
1.984314,0.545166,-2.000000,12.404580,-102.129768,-40.992367
0.208008,1.223145,1.984314,80.809158,-75.625954,-47.519085
1.107178,-0.926514,-1.468018,28.442749,23.839695,-44.679390
1.766846,1.659912,-0.181885,70.671753,-98.625954,-73.229004
-0.368408,-0.360107,1.984314,65.183205,82.740456,-38.106869
1.984314,0.467773,-2.000000,49.106869,-50.793892,-63.351147
0.112305,1.340332,1.984314,100.549622,9.740458,-56.198475
0.632324,-0.605225,-1.038086,24.641222,74.625954,-51.664124
1.984314,1.502441,-1.956787,41.496181,-71.854965,-82.908394
-0.276611,0.980713,1.984314,32.335876,63.282444,-64.145035
1.056152,-0.580811,-2.000000,-59.534351,76.328247,-76.366409
1.984314,1.056641,-1.921875,-41.083969,-26.114504,-102.984734
-0.391113,0.564697,1.984314,-27.198473,120.816795,-63.343510
0.039307,-1.178223,-0.371582,-71.503815,165.633591,-34.015266
1.878906,0.193115,-2.000000,8.282443,-2.221374,-46.480915
0.209229,1.492432,1.984314,82.832062,18.954199,-26.351145
-0.697754,0.102783,1.984314,24.305344,86.992363,-4.702290
1.585205,0.215576,-2.000000,-21.541985,-56.129772,-28.412214
1.788574,1.984314,-0.228516,6.847328,-117.396950,-40.900764
-0.241699,1.419434,1.984314,-31.847328,36.534351,-14.511451
0.602783,-0.193359,-0.551270,-106.732826,63.954197,-13.511451
1.984314,0.855957,-2.000000,-71.320610,-46.984734,-41.908398
1.112061,1.922607,1.984314,-13.389313,14.870229,-36.541985
-0.293945,0.359131,1.984314,-54.045803,151.106873,-16.664122
1.451904,-0.388672,-2.000000,-58.618320,59.259541,-41.877861
1.984314,1.424805,-1.864014,15.000000,-5.274809,-60.709923
0.135986,1.633057,1.984314,27.442749,119.687019,-38.435116
-0.188721,-0.074219,1.610596,-27.114504,147.091599,-32.541985
1.931396,0.037842,-2.000000,-14.221375,4.526718,-67.122139
1.961914,1.770264,-0.281982,37.847328,-9.687023,-83.290077
-0.065430,1.274414,1.984314,16.824427,137.137405,-61.931297
0.262451,-0.498779,0.425781,-42.847328,142.137405,-59.870228
1.984314,-0.115479,-2.000000,-10.236641,47.343510,-87.297707
1.537598,1.528809,0.173096,70.984734,101.801529,-85.167938
-0.578369,1.016602,1.984314,61.694656,217.946564,-61.282444
-0.257324,-0.261719,-0.512939,18.854961,161.572525,-64.221375
1.482422,0.675049,-2.000000,10.480916,9.358779,-86.389313
0.938965,1.984314,-0.540039,-24.503817,12.091603,-75.801529
-0.972168,1.681885,1.984314,-139.587784,92.076332,-46.748093
-0.508301,-0.109863,-0.311768,-250.137405,27.022902,-42.343510
1.579590,-0.058350,-2.000000,-250.137405,-117.282440,-56.106869
1.344971,1.115967,1.111328,-164.374039,-74.297707,-52.557251
-0.553711,0.158203,1.984314,-77.374046,86.870232,-47.702290
-0.162354,-1.336182,-0.055420,-15.763359,71.862595,-60.312977
1.349609,0.148926,-2.000000,86.137405,-25.213741,-65.198471
0.549316,1.984314,0.466553,114.038170,0.900763,-52.328243
-1.403076,1.965088,1.984314,-7.908397,39.755726,-47.305344
-0.947021,0.277588,-0.229248,-186.725189,-93.022903,-59.236641
1.108398,0.385010,-2.000000,-250.137405,-232.267181,-49.374046
