ax,ay,az,gx,gy,gz
-0.744629,1.758057,1.984314,-0.145038,5.969466,11.526717
0.352539,1.984314,1.222412,3.610687,-82.664124,-4.732824
1.022705,1.383301,-1.744873,-29.175573,-129.625961,-19.732824
0.879639,0.282959,-2.000000,-72.259544,-107.900764,-20.358778
0.032715,-0.509766,-1.767822,-95.145035,-61.083969,-12.290076
-0.882568,-0.593506,1.021973,-96.488548,12.984733,3.183206
-1.353027,0.039307,1.984314,-76.251907,63.648853,18.160305
-1.058594,1.004639,1.984314,-37.854961,55.587788,28.145039
-0.189453,1.687500,1.984314,-2.145038,8.137404,21.977098
0.619385,1.697998,0.258789,9.175572,-55.541985,11.412213
0.966064,1.031494,-2.000000,-12.862596,-104.641220,6.343512
0.655029,0.090576,-2.000000,-50.633587,-105.816795,9.229008
-0.154297,-0.465820,-1.267334,-83.587784,-52.213741,15.000000
-0.936035,-0.413574,1.531738,-89.007637,24.809160,27.328245
-0.052734,-0.605225,-1.455322,-77.832062,65.450378,32.122139
-0.909912,-0.614990,1.404541,-44.511452,72.503815,32.900764
-1.338135,0.208496,1.984314,-1.061069,20.076336,29.396946
-0.974854,1.247803,1.984314,18.442749,-61.732826,22.297710
-0.085693,1.828613,1.984314,-2.374046,-125.221375,15.603053
0.749268,1.712646,-0.191895,-34.106869,-132.938934,14.984733
1.123291,0.987061,-2.000000,-53.068703,-81.984734,22.145039
0.781494,0.096191,-2.000000,-62.580154,2.160305,25.511450
-0.136963,-0.390625,-0.938477,-52.320610,71.419846,22.725191
-1.029053,-0.212402,1.912598,-29.541985,77.114502,17.755726
-1.414307,0.557129,1.984314,-14.312977,27.427481,15.152672
-0.924561,1.416748,1.984314,-6.992366,-75.183205,11.114504
0.092041,1.835205,1.984314,-22.305344,-147.343506,8.732824
0.976807,1.577637,-0.555420,-48.465649,-154.748093,9.618320
1.251221,0.787354,-2.000000,-77.274811,-88.755722,14.549619
0.745361,-0.067627,-2.000000,-88.114502,3.083969,21.290077
-0.141602,-0.266602,-0.472656,-73.259544,59.152672,25.664122
-0.803711,0.195068,1.984314,-49.595421,48.786259,18.786259
-0.976562,0.985840,1.984314,-46.694656,-15.335877,9.312977
-0.488037,1.627441,1.984314,-63.694656,-94.419846,-4.267176
0.320068,1.557861,1.984314,-86.648857,-133.664124,-1.809160
0.890625,0.855225,-0.060791,-112.793892,-125.587784,7.580153
0.751709,-0.062256,-2.000000,-107.816795,-59.984734,46.419846
0.085693,-0.845459,-2.000000,-78.709923,-24.442749,94.198471
-0.677979,-1.140869,-0.836914,-29.885496,-26.923664,127.984734
-1.056152,-0.785156,1.984314,14.442748,-61.465649,115.251907
-0.988037,0.186523,1.984314,60.603054,-115.259544,64.709923
-0.462158,1.129395,1.984314,86.343513,-182.610687,16.366413
0.387695,1.473389,1.984314,95.664124,-219.770996,8.961832
1.162354,1.509277,0.334961,28.015266,-226.709930,6.015267
1.393066,0.864746,-2.000000,-2.824427,-200.961838,7.618320
1.036377,-0.015381,-2.000000,-46.274811,-148.931305,12.473283
0.237549,-0.340576,-1.697021,-73.595421,-112.442749,-1.984733
-0.617920,-0.458984,0.900879,-83.748093,-105.534348,7.732824
-0.755127,0.125244,1.984314,-68.984734,-97.076332,41.770992
-0.367432,0.989258,1.984314,-54.099236,-135.274811,12.809160
0.390869,1.393555,1.984314,-18.297710,-194.137405,-18.335878
1.246094,1.331299,1.017090,9.541985,-239.900757,-24.526718
1.866211,0.764648,-1.790527,12.633588,-250.137405,-12.480916
1.901855,-0.200928,-2.000000,-1.938931,-214.648849,1.885496
1.296631,-0.816895,-2.000000,-15.641221,-140.297714,3.396947
0.457764,-0.880615,0.177002,-15.412213,-61.290077,9.870229
-0.052979,-0.327393,1.984314,10.328244,-10.396947,6.091603
0.014893,0.691650,1.984314,62.694656,-16.877863,-7.580153
0.749512,1.452393,1.984314,110.870232,-65.030533,-32.610687
1.596924,1.614014,1.560791,138.862595,-117.167938,-64.961830
1.984314,1.134277,-1.257568,133.534348,-131.679382,-84.893127
1.970947,0.319824,-2.000000,98.770996,-91.465652,-90.358780
1.269043,-0.259766,-2.000000,60.343510,-9.557252,-83.885498
0.295898,-0.326172,-0.047607,38.366413,66.152672,-68.267174
-0.422119,0.145508,1.984314,31.442749,104.419846,-47.763359
-0.578369,0.819336,1.984314,65.480919,112.480919,-4.725191
0.184570,1.489502,1.984314,117.900764,71.061066,21.541985
1.184814,1.699463,1.359863,164.877869,9.282443,-16.664122
1.598877,1.148193,-1.947021,141.213745,-43.152672,-47.793892
1.378418,0.381592,-2.000000,95.221375,-33.267174,-45.885498
0.513428,-0.121094,-2.000000,46.916031,19.618320,-30.511450
-0.439453,-0.098145,0.041260,16.022902,81.015266,-11.923664
-0.962158,0.578369,1.984314,15.305344,106.175575,2.580153
-0.630371,1.457764,1.984314,35.167938,60.488548,6.793893
0.393311,1.942139,1.984314,43.770992,-7.595420,3.664122
1.323975,1.595215,-0.607666,39.244274,-85.396950,-3.916031
1.562988,0.640381,-2.000000,6.549618,-114.534348,-2.335878
0.934570,-0.206543,-2.000000,-31.274809,-78.167938,9.603053
0.006348,-0.348389,-0.657471,-27.488550,-7.274809,21.267176
-0.564209,0.356201,1.984314,28.816793,41.717556,20.145039
-0.510742,1.201416,1.984314,92.564888,35.198475,9.152672
0.185791,1.710449,1.984314,120.763359,-23.572519,-1.458015
1.060547,1.763428,1.106689,104.030533,-104.335876,-8.992367
1.639160,1.076172,-1.749756,55.992367,-159.664124,-16.847328
1.520020,0.145996,-2.000000,4.916030,-157.099243,-21.007633
0.613037,-0.454102,-2.000000,-55.465649,-91.030533,-12.282443
-0.421143,-0.433105,0.606445,-92.022903,19.442749,29.045801
-1.034424,0.334473,1.984314,-89.396950,89.221375,60.610687
-0.690186,1.138184,1.984314,-38.801525,82.022903,108.221375
0.372314,1.370850,1.984314,-28.427481,11.709924,127.076332
1.361328,0.982422,-1.051514,-43.923664,-60.809162,108.022903
1.449219,-0.076416,-2.000000,-71.320610,-89.312981,85.045799
0.602051,-0.923828,-2.000000,-62.099236,-45.938931,81.282440
-0.393311,-0.868896,0.297363,-39.389313,39.564884,79.580154
0.447510,-0.697998,-2.000000,16.007633,76.969467,67.427483
-0.479248,-0.469727,0.585937,93.488548,67.778625,54.633587
-0.848877,0.517090,1.984314,121.190842,-17.343512,25.167938
-0.312500,1.577881,1.984314,106.442749,-132.732819,-11.717557
0.834717,1.948730,1.984314,57.893131,-198.862595,-32.793892
1.789795,1.594971,-0.513916,-7.549618,-177.717560,-49.549618
1.984314,0.672363,-2.000000,-23.648855,-77.709923,-36.977100
1.542725,0.072266,-2.000000,-40.954197,45.534351,-15.984733
0.508057,-0.175537,-0.517334,10.442748,121.870232,30.412214
-0.200439,0.470459,1.984314,47.213741,126.763359,40.587788
-0.248779,1.289307,1.984314,71.580154,81.045799,15.145039
0.465332,1.793945,1.984314,80.198471,1.198473,-20.290077
1.378174,1.759033,0.217041,69.167938,-33.358780,-42.114502
1.801758,1.043945,-2.000000,34.412212,-18.335878,-45.000000
1.454346,0.292236,-2.000000,24.389313,33.045803,-36.694656
0.536621,-0.024658,-1.577881,39.587788,82.893127,-26.519083
-0.262451,0.221680,1.630127,79.610687,87.656487,-24.687023
-0.443848,0.908203,1.984314,115.793892,37.358780,-33.091602
0.216309,1.533447,1.984314,119.671753,-29.603054,-45.519085
1.151855,1.697021,1.116699,89.190842,-62.129772,-49.770992
1.732422,1.117676,-2.000000,57.282444,-49.267174,-42.183205
1.520752,0.301025,-2.000000,16.793894,10.251908,-24.312977
0.594971,-0.191406,-2.000000,5.129771,82.839691,-3.488550
-0.342529,-0.066650,1.012451,33.938931,110.709923,8.083969
-0.706055,0.699219,1.984314,71.687019,68.893127,5.183206
-0.111084,1.456299,1.984314,81.717560,-14.877863,-6.679389
0.959473,1.644531,1.510010,53.473282,-85.259544,-19.053434
1.705566,1.035156,-1.688965,7.129771,-86.251907,-22.091602
1.583984,0.069336,-2.000000,-29.480917,-14.526717,-13.366412
0.624512,-0.462402,-2.000000,-26.251909,74.381676,0.877863
-0.396240,-0.225098,1.016357,-5.755725,105.534348,-0.374046
-0.777832,0.641113,1.984314,38.038166,67.816795,-6.122138
-0.167725,1.438965,1.984314,40.320610,-28.770992,-17.450382
0.951172,1.579346,1.280762,21.870230,-113.274811,-16.961832
1.768555,0.952148,-1.983887,-13.442748,-124.908394,-8.175572
1.676758,0.068115,-2.000000,-41.374046,-52.091602,8.717557
0.726807,-0.290771,-1.797363,-37.755726,48.809162,14.847328
-0.264160,-0.014893,1.383301,-0.641221,104.870232,18.244274
-0.616211,0.812988,1.984314,51.213741,79.519081,23.534351
0.076172,1.612793,1.984314,59.618320,-5.106870,18.923664
1.144775,1.741943,0.937500,28.511450,-74.725189,3.511450
1.815430,0.963867,-2.000000,-28.290077,-101.358780,-5.480916
1.542969,-0.069336,-2.000000,-80.053436,-37.320610,7.412214
0.530762,-0.550537,-1.295166,-75.679390,61.984734,16.587786
-0.382568,-0.247314,1.982422,-20.572519,128.381683,20.992367
-0.611328,0.735107,1.984314,43.236641,119.641220,17.259542
0.068604,1.520996,1.984314,84.427483,35.763359,3.480916
1.034180,1.686768,0.346191,46.488548,-52.671757,4.816794
1.619873,0.978027,-2.000000,-17.603054,-87.221375,9.969465
