ax,ay,az,gx,gy,gz
0.926025,0.236328,0.238770,5.870229,-1.885496,-11.893129
0.935791,0.228516,0.242187,7.946565,-0.740458,-10.977099
0.941406,0.230713,0.234619,11.564885,2.221374,-11.389313
0.929443,0.227295,0.247070,15.946565,1.946565,-11.725191
0.909912,0.277100,0.257080,18.679390,3.801527,-8.862596
0.889160,0.305664,0.241943,16.106871,0.923664,-6.816794
0.891357,0.324463,0.243408,10.732824,-3.091603,-6.328244
0.915527,0.296875,0.228516,3.778626,-7.419847,-7.839694
0.940186,0.260742,0.237549,1.450382,-7.106870,-9.877863
0.940186,0.277588,0.232178,2.328244,-2.908397,-10.343512
0.931396,0.333252,0.245361,4.465649,1.099237,-3.557252
0.886230,0.295654,0.210205,1.870229,-2.152672,-4.793893
0.907959,0.358154,0.221436,-4.015267,-1.809160,-5.671756
0.913818,0.349121,0.184814,-8.923664,-4.061069,-6.618320
0.926270,0.289795,0.217041,-9.824428,-2.595420,-5.267176
0.947510,0.306641,0.244385,-6.328244,3.190840,-3.748092
0.906982,0.329834,0.219238,-3.427481,8.145039,-1.114504
0.912109,0.317139,0.211182,-3.030534,5.312977,1.374046
0.938232,0.295410,0.235352,0.572519,10.541985,4.992366
0.937012,0.300293,0.239746,2.007634,16.259542,5.015267
0.901123,0.291016,0.248291,1.450382,14.534351,4.320611
0.895264,0.299072,0.250244,-0.114504,8.045801,1.389313
0.887451,0.274658,0.230469,-1.740458,1.374046,-0.511450
0.936523,0.260254,0.246338,-3.801527,2.557252,-0.389313
0.949707,0.286865,0.240234,-0.969466,9.541985,-0.557252
0.908447,0.298340,0.237061,-0.068702,11.343512,-0.175573
0.886963,0.306641,0.251709,0.923664,10.381680,0.885496
0.880127,0.304443,0.254395,1.809160,5.664122,0.229008
0.895264,0.302002,0.252441,-0.106870,3.137405,0.374046
0.926514,0.298096,0.271973,-2.320611,4.312977,-0.458015
0.909912,0.254150,0.251465,-3.916031,2.328244,-2.022901
0.933105,0.249756,0.259277,-3.106870,1.465649,-2.374046
0.946045,0.264893,0.244629,-2.473282,6.045802,-3.534351
0.932373,0.298340,0.253174,-1.740458,10.122137,-3.480916
0.895508,0.304443,0.243164,-2.351145,10.083969,-3.305344
0.892578,0.305908,0.252197,-1.832061,8.916031,-1.908397
0.898682,0.310547,0.270752,-1.786260,8.671756,-0.519084
0.894531,0.316162,0.253906,-2.732824,4.404580,-1.190840
0.900146,0.298584,0.267578,-3.603053,2.763359,-1.183206
0.906250,0.277100,0.247559,-3.587786,1.236641,-1.412214
0.919189,0.305664,0.279297,-2.732824,4.694656,-0.282443
0.904053,0.311523,0.244385,-5.236641,3.839695,-2.564885
0.899414,0.277100,0.261963,-6.152672,0.221374,-3.030534
0.936279,0.273926,0.263672,-6.106870,2.641221,-2.381679
0.937988,0.271484,0.267822,-3.503817,6.725191,-3.076336
0.917236,0.274414,0.275635,-2.793893,10.549619,-3.076336
0.889893,0.286133,0.271973,-1.519084,10.297709,-2.748092
0.883301,0.323730,0.284180,-1.610687,7.557252,-1.625954
0.871826,0.308838,0.257813,-3.847328,3.145038,-2.748092
0.889648,0.275391,0.284912,-2.564885,0.045802,-0.664122
0.918213,0.278564,0.286377,-0.106870,4.152672,1.007634
0.916016,0.282715,0.302002,1.282443,5.236641,0.106870
0.872559,0.286377,0.283447,4.839694,5.061069,-0.610687
0.863525,0.304443,0.278320,1.061069,-2.709924,0.114504
0.903320,0.302246,0.293457,0.396947,-5.900764,-0.175573
0.901611,0.264160,0.282959,0.137405,-8.603053,-1.755725
0.915283,0.281738,0.278564,0.992366,-7.793893,-1.641221
0.914795,0.277344,0.262451,0.709924,-8.328244,-3.282443
0.910400,0.276855,0.273682,1.320611,-7.213740,-2.847328
0.904053,0.294922,0.259277,1.549618,-5.870229,-2.763359
0.898437,0.293701,0.261719,0.824427,-7.358778,-2.977099
0.904541,0.291504,0.253662,0.839695,-8.793893,-2.328244
0.917480,0.301025,0.261230,1.900763,-7.839694,-1.259542
0.910156,0.318115,0.268799,3.427481,-4.809160,-1.480916
0.884033,0.318848,0.260742,3.305344,-5.503817,-0.114504
0.882080,0.309326,0.240723,1.862595,-10.580153,0.328244
0.909912,0.309326,0.260254,1.175573,-12.893129,0.198473
0.919922,0.289795,0.263916,1.557252,-12.083969,-0.480916
0.905029,0.286621,0.258301,2.664122,-11.251908,0.007634
0.910156,0.302979,0.251709,2.687023,-11.297709,-0.412214
0.890625,0.327881,0.264160,1.870229,-13.633588,-0.297710
0.877197,0.339111,0.237793,-2.671756,-19.633587,-3.679389
0.874756,0.283203,0.237061,-9.190840,-27.755726,-3.190840
0.932617,0.250977,0.221436,-8.519084,-29.213741,-3.458015
0.976562,0.271240,0.244873,-2.152672,-21.114504,-4.083970
0.941650,0.289063,0.217529,1.503817,-11.061069,-2.145038
0.895996,0.313477,0.232178,3.083969,-8.946565,-0.282443
0.871338,0.334717,0.229492,2.442748,-13.809160,0.290076
0.884033,0.344482,0.226807,-0.969466,-20.877863,-0.473282
0.912354,0.318848,0.227051,-4.190840,-25.022902,-1.175573
0.937012,0.298340,0.214844,-3.015267,-23.687023,-1.488550
0.936035,0.299561,0.220215,-1.221374,-18.923664,-0.770992
0.917480,0.288818,0.173828,-1.007634,-18.351145,0.068702
0.937988,0.299072,0.200684,-0.946565,-14.885496,1.549618
0.934570,0.295410,0.199463,2.679389,-12.198473,1.511450
0.917480,0.307373,0.206543,2.725191,-12.511451,1.206107
0.913086,0.323975,0.200928,-0.122137,-14.954199,1.267176
0.916504,0.328369,0.182129,-3.160305,-17.702290,1.282443
0.933838,0.307861,0.189941,-6.458015,-17.053434,2.007634
0.929443,0.308594,0.180908,-2.534351,-16.603054,3.366412
0.918457,0.330322,0.153320,-2.862595,-15.114504,2.786260
0.924561,0.307617,0.161377,-4.488550,-14.106871,5.320611
0.948242,0.311523,0.167236,-3.160305,-10.267176,6.190840
0.933838,0.276855,0.177490,-2.656489,-7.832061,7.587786
0.938232,0.283691,0.170898,0.694656,-7.328244,6.374046
0.915527,0.310791,0.172852,2.236641,-8.366412,4.526718
0.910645,0.314453,0.170898,-1.137405,-9.412213,5.793893
0.934570,0.301758,0.187744,-4.458015,-10.190840,9.259542
0.925293,0.328125,0.156250,-8.305344,-10.923664,8.465649
0.936523,0.304688,0.130859,-12.412213,-9.412213,10.389313
0.959229,0.257568,0.149902,-10.786260,-5.320611,14.328244
0.948975,0.276367,0.145508,-5.847328,-2.412214,15.847328
0.927734,0.288330,0.155029,-3.763359,-3.282443,15.732824
0.940186,0.302002,0.163086,-4.839694,-3.526718,17.572519
0.950439,0.306396,0.151123,-8.458015,-2.480916,18.122137
0.942383,0.292480,0.153809,-10.870229,-2.053435,18.305344
0.938721,0.276855,0.153809,-10.519084,-2.549618,19.503817
0.956787,0.264160,0.156982,-9.908397,-2.801527,21.343512
0.976074,0.265137,0.163574,-9.328244,0.251908,22.229008
0.984131,0.269775,0.158936,-8.877863,6.198473,22.793894
0.974121,0.273926,0.151855,-10.763359,9.137404,23.412214
0.967285,0.268799,0.159180,-12.458015,10.068703,23.534351
0.973633,0.267578,0.170898,-13.778625,11.557252,23.083969
1.001709,0.265137,0.166504,-17.893129,15.198473,22.732824
1.020752,0.269043,0.175049,-22.007633,22.114504,22.000000
1.021729,0.256836,0.173584,-26.862595,26.908398,20.076336
1.016602,0.241699,0.184570,-31.351145,30.442749,16.564886
1.009766,0.238281,0.191895,-36.297710,31.610687,12.732824
0.993652,0.231445,0.198242,-39.580154,33.106869,10.412213
0.992187,0.234863,0.224854,-39.183205,34.503819,10.618320
1.003662,0.234619,0.249512,-39.007633,36.137405,10.839695
1.017090,0.267578,0.259033,-38.564884,38.534351,13.030535
1.040283,0.312988,0.274658,-41.267174,38.496181,15.908397
1.107178,0.377930,0.324707,-48.412212,34.977100,19.557251
1.151855,0.347900,0.339355,-55.923664,39.519085,19.778625
1.143799,0.282959,0.372314,-57.106869,45.045803,20.763359
1.153809,0.259277,0.429687,-57.030533,48.160305,24.015266
1.161133,0.257568,0.385986,-44.801525,49.587788,26.877863
1.173340,0.284424,0.341309,-32.351147,54.183205,20.351145
1.194336,0.336426,0.247803,-12.488549,53.145039,11.236641
1.273926,0.420654,0.449707,0.526718,63.725189,-2.412214
1.191162,0.467285,0.254883,20.351145,54.465649,-15.419847
1.132324,0.471680,0.153564,65.305344,61.374046,-38.961834
1.091553,0.500244,0.071289,95.015266,48.106869,-58.885498
1.125977,0.614746,0.041748,108.236641,45.671757,-72.312981
1.099365,0.651123,0.036621,116.885498,44.328243,-81.870232
1.043945,0.646484,0.006104,118.091606,47.198475,-95.106873
1.006104,0.693359,0.056885,112.435112,42.145039,-106.458015
0.973877,0.742676,0.035645,111.328247,26.564886,-118.465652
0.985107,0.715088,0.036865,105.847328,7.267176,-132.709930
0.991455,0.720459,0.007813,96.931297,0.595420,-144.862595
1.020508,0.841797,-0.032959,84.977097,3.877863,-154.625961
0.998535,0.955078,0.025879,65.091606,8.343512,-165.106873
0.979248,1.084717,0.047852,44.526718,5.557252,-176.610687
0.942871,1.062012,0.079346,18.931297,-3.473282,-187.496185
0.931152,1.035400,0.097656,-4.290076,-10.145039,-199.068695
0.898926,0.947754,0.163086,-22.503817,-11.549619,-211.007629
0.815430,0.858398,0.189209,-33.801525,-14.114504,-210.877869
0.821777,0.881104,0.221436,-45.679390,-4.625954,-201.534348
0.763672,0.846924,0.246338,-55.305344,-3.045802,-204.137405
0.669922,0.790283,0.234375,-61.534351,-7.862596,-207.977097
0.604736,0.695801,0.202148,-67.977097,-15.778625,-208.160309
0.573242,0.628418,0.207764,-73.503815,-19.305344,-206.305344
0.558105,0.582520,0.257324,-78.770996,-20.488550,-200.961838
0.531494,0.566162,0.304688,-87.564888,-22.427481,-190.671753
0.522217,0.555176,0.419678,-97.259544,-21.648855,-177.167938
0.507568,0.537109,0.465332,-105.351143,-26.183207,-166.045807
0.498047,0.513184,0.477051,-108.099236,-29.480917,-159.221375
0.452393,0.493164,0.378418,-105.175575,-32.671757,-155.129776
0.415283,0.428711,0.298584,-105.419846,-35.328243,-150.908401
0.393311,0.309814,0.350830,-108.557251,-41.106869,-141.549622
0.451416,0.260986,0.532959,-108.740456,-47.770992,-128.511444
0.565186,0.270264,0.706543,-107.519081,-48.000000,-117.450378
0.647217,0.276855,0.802979,-108.145035,-37.396946,-106.480919
0.633789,0.296387,0.817139,-107.595421,-25.801527,-96.465652
0.563232,0.350342,0.781006,-102.473282,-21.312977,-89.412216
0.489014,0.382568,0.695068,-93.541985,-23.007633,-83.396950
0.478027,0.417969,0.506104,-86.198471,-24.442749,-77.167938
0.488770,0.350342,0.494629,-86.015266,-25.145039,-69.366409
0.515869,0.223877,0.535156,-87.900764,-26.061069,-60.152672
0.560303,0.126221,0.660645,-85.381676,-23.251909,-50.664124
0.593262,0.133301,0.685059,-74.404579,-17.801527,-43.862595
0.580811,0.158203,0.660156,-63.572517,-9.679389,-37.458015
0.518311,0.220215,0.680664,-53.206108,0.267176,-27.755726
0.438965,0.332275,0.664551,-41.488548,10.022901,-16.816793
0.383789,0.395264,0.575195,-44.877861,8.236641,4.793893
0.439941,0.340576,0.583252,-37.931297,12.007633,14.076336
0.445068,0.416748,0.629150,-42.709923,14.015267,7.793893
0.368896,0.407959,0.568359,-43.267174,-3.137405,-1.175573
0.385254,0.404053,0.598389,-43.763359,-5.038168,1.122137
0.359863,0.433105,0.555664,-40.893131,-6.511450,-1.465649
0.284180,0.424805,0.500977,-33.412212,-6.595420,5.832061
0.234131,0.533203,0.398926,-37.038166,-7.541985,16.458015
0.234619,0.639893,0.364990,-50.961834,-20.206106,17.175573
0.304688,0.616699,0.418457,-72.580154,-40.129772,17.778625
0.416748,0.566650,0.449219,-87.526718,-41.351147,20.129770
0.473877,0.574463,0.539062,-84.702293,-32.709923,15.267176
0.472412,0.533936,0.606934,-83.816795,-31.610687,9.862596
0.495605,0.505371,0.934814,-63.267174,-22.183207,6.511450
0.517822,0.516602,0.942139,-28.427481,-14.984733,0.244275
0.438965,0.606689,0.800293,-6.832061,1.908397,-0.664122
0.325439,0.672119,0.720215,-9.381680,5.946565,8.625955
0.306641,0.755127,0.766602,-22.526718,1.801527,15.335877
0.336670,0.777344,0.759521,-30.038168,-5.648855,13.167939
0.375732,0.812256,0.710205,-41.862595,-8.839695,6.580153
0.375244,0.814941,0.726562,-52.160305,-12.427481,-2.946565
0.362305,0.728760,0.810791,-57.992367,-16.374046,-10.137404
0.383057,0.643555,0.868896,-53.908398,-16.236641,-12.603053
0.403809,0.567139,0.842041,-42.702290,-13.763359,-13.381680
0.377441,0.486328,0.819824,-27.244274,-9.137404,-13.923664
0.328613,0.487305,0.759521,-8.931297,-6.465649,-11.213740
0.313965,0.567627,0.796631,6.862596,-8.404580,-4.854962
0.353027,0.669678,0.745117,10.015267,-11.435115,4.007634
0.362793,0.723633,0.759521,8.061069,-8.679389,9.030535
0.341309,0.726807,0.693115,1.129771,-12.450381,4.923664
0.307861,0.550781,0.683105,-4.015267,-18.290077,-1.030534
0.322510,0.415527,0.681152,7.648855,-18.236641,-0.755725
0.371582,0.372803,0.613525,22.702290,-16.404581,-3.183206
0.389648,0.492432,0.697266,34.183205,-4.183206,5.526718
0.386963,0.686035,0.789062,33.412212,0.862595,10.343512
0.371582,0.642578,0.838379,26.480917,0.160305,24.290077
0.395508,0.580811,0.812988,32.007633,2.801527,27.679390
0.417969,0.475342,0.825439,43.549618,2.206107,23.893129
0.450684,0.409424,0.799561,56.450382,9.526717,22.198473
0.478271,0.429199,0.794922,64.152672,18.167938,19.725191
0.481689,0.400391,0.807373,64.908394,27.343512,22.038168
0.494385,0.416748,0.710693,70.923668,34.282444,26.335878
0.487793,0.709473,0.597168,76.931297,45.740459,25.572519
0.395020,0.878418,0.562256,61.839695,49.320610,25.152672
0.347412,0.980713,0.485840,42.068703,38.389313,25.893129
0.412842,1.009277,0.548828,22.656488,25.969465,18.351145
0.468262,0.931641,0.585205,5.297710,21.068703,7.984733
0.407471,0.738281,0.508789,-7.244275,19.541985,-0.183206
0.337891,0.567627,0.568115,-4.183206,20.007633,-8.106871
0.307373,0.556885,0.556885,11.755725,11.580153,-18.312977
0.292480,0.481445,0.553955,20.770992,4.519084,-15.488549
0.297363,0.500488,0.577148,32.061069,6.893130,-7.358778
0.276611,0.548096,0.451416,39.145039,5.992366,2.000000
0.247070,0.564697,0.400391,38.595421,-2.229008,-1.190840
