ax,ay,az,gx,gy,gz
-0.471680,0.950928,0.953857,45.503819,-13.572519,-26.198473
-0.464600,0.382568,-0.205078,-9.038168,4.664122,-4.732824
-0.018311,0.793213,-0.561279,-29.366413,-37.244274,-6.236641
-0.048340,1.048828,-0.331299,-73.343513,-40.519085,-0.152672
-0.166748,0.841309,-0.076172,-154.885498,-21.190840,3.358779
-0.322510,0.311035,0.005371,-235.312973,-12.770992,4.412214
-0.531494,-0.175293,0.059814,-250.137405,-6.862596,2.694656
-0.770508,-0.424805,0.357422,-250.137405,-6.992366,-0.656489
-0.740723,-0.320313,0.276855,-215.404587,-96.564888,2.030534
-0.557129,-0.491211,-0.130371,-179.419846,-186.435120,26.061069
-0.567383,-0.644775,0.363525,-140.259537,-184.335876,51.305344
-0.234131,-0.685303,0.976074,-112.893127,-232.274811,63.595421
-0.041504,-0.833008,1.216553,-81.053436,-188.374039,82.854965
0.250000,-0.504883,1.599609,-21.358778,-179.541992,81.854965
0.274170,-0.163086,1.732910,44.122139,-104.679390,73.496185
0.256348,0.170654,1.559570,69.274811,-58.000000,77.328247
0.197998,0.574707,1.315186,66.473282,-17.618320,71.755722
0.044434,0.697021,1.065674,34.809162,31.854961,70.175575
-0.102783,0.627686,0.969482,-6.389313,28.091602,70.305344
-0.134766,0.539795,1.017578,-30.358778,-13.190840,65.083969
-0.044434,0.491211,1.088623,-36.748093,-45.526718,54.809162
0.071045,0.469727,1.070313,-34.381680,-52.450382,47.320610
0.091797,0.479248,1.045654,-22.557251,-46.419846,56.488548
0.164795,0.455078,1.024902,-5.389313,-21.893129,93.870232
0.270508,0.484863,0.924561,3.969466,1.458015,98.862595
0.254639,0.530029,0.874756,-3.267176,-3.381679,74.167938
0.187500,0.586670,0.878662,-15.328244,-11.503817,50.725189
0.149414,0.572754,0.879639,-19.000000,-20.091602,43.740459
0.182373,0.552002,0.822266,-16.244274,-28.732824,44.129772
0.217529,0.534180,0.741943,-8.732824,-36.954197,46.603054
0.285156,0.574951,0.612793,6.038168,-45.572517,51.916031
0.328125,0.747559,0.423828,13.618320,-59.061069,44.526718
0.334961,0.735352,0.386230,26.343512,-72.175575,37.106869
0.314209,0.463135,0.346680,40.641220,-83.030533,29.068703
0.315186,0.068115,0.431152,85.351143,-99.167938,27.404581
0.337402,-0.148437,0.083984,154.526718,-122.259544,28.587786
0.378906,0.491211,-0.248535,199.595413,-177.458008,31.885496
0.582031,1.646484,0.415039,240.702286,-235.633591,22.267176
0.795654,1.984314,0.490723,220.725189,-241.206100,18.816793
1.051514,1.970947,0.591064,68.824425,-193.145035,42.595421
1.288574,1.572021,0.724854,-92.076332,-108.740456,56.916031
1.285400,0.955566,0.961426,-147.236649,-43.694656,43.870228
1.221680,0.312500,1.013672,-125.854965,-20.419847,29.320610
0.935547,-0.167480,1.145020,-57.137405,21.114504,20.496183
0.660889,-0.124512,1.200439,23.847328,13.687023,17.229008
1.061279,-0.479492,0.028320,54.206108,-2.259542,25.770992
0.333740,0.564209,1.898193,173.824432,32.900764,25.091602
0.459961,0.910889,1.984314,212.503815,13.297709,37.458015
-0.153564,-0.062012,1.681641,157.267181,102.862595,57.839695
1.908691,0.406982,-2.000000,131.061066,-75.282440,24.053434
-0.031494,1.079346,1.984314,213.946564,77.030533,43.343510
0.279053,-0.103760,0.001953,177.549622,108.656487,46.625954
0.503174,0.084473,-0.512207,199.961838,86.099236,33.885498
0.193848,0.806396,1.080566,237.603058,107.717560,29.343512
0.787598,1.903564,1.363770,248.175568,-13.007633,6.488550
0.201416,0.854004,-0.926514,151.511444,54.664124,21.015266
0.925293,1.866943,0.572266,143.954193,5.045802,-13.290076
-0.268799,0.967529,0.394775,67.038170,68.580154,7.946565
-0.137695,0.150635,-0.099854,-10.389313,85.778625,29.419847
0.018311,-0.130371,-0.310303,-33.076336,52.129772,51.480915
0.068848,-0.157715,-0.249512,3.656489,16.648855,67.099236
0.077637,-0.059326,0.063232,66.687019,-14.282443,75.099236
0.159180,0.245117,0.317871,130.969467,-46.419846,74.480919
0.415283,0.627930,0.077393,150.618317,-103.427483,76.931297
0.552490,0.861328,-0.213379,129.435120,-98.702293,85.923668
0.541504,1.264404,0.613770,135.473282,-71.145035,73.007637
0.850342,1.442383,0.519043,73.290077,-90.114502,59.213741
0.787598,1.096191,0.521240,8.473283,-10.000000,61.465649
0.929687,1.010254,0.578369,-50.488548,-29.809160,58.519085
0.863525,0.868652,0.643066,-59.160305,5.358778,53.549618
0.902832,0.728271,0.502441,-71.839691,-19.366413,50.244274
0.904785,0.585693,0.555664,-51.488548,-11.122137,39.511452
0.816650,0.276611,0.451904,-44.427483,18.694656,39.404579
0.691895,0.239014,0.166504,-36.488548,14.358779,45.900764
0.573242,0.552002,0.070801,-18.694656,-9.076336,51.129772
0.490723,0.989746,0.044678,-13.725191,-23.702290,52.206108
0.471924,1.197266,-0.006348,-38.122139,-48.511452,50.259541
0.543701,1.106201,-0.115234,-95.022903,-82.633591,48.595421
0.661133,0.744385,0.017822,-150.961838,-89.213737,55.641220
0.770508,0.303711,0.281982,-164.832062,-61.916031,64.847328
0.798340,0.008789,0.434326,-130.213745,-32.465649,70.687019
0.780029,-0.003662,0.511719,-72.381676,-18.030535,71.534348
0.751953,0.294678,0.490479,-26.076336,-19.083969,61.618320
0.733154,0.602783,0.400635,-9.175572,-32.419846,47.458015
0.762451,0.749512,0.231445,-20.053434,-50.022900,35.763359
0.860596,0.702148,0.192139,-36.503819,-54.671757,30.198473
0.978516,0.566895,0.151855,-36.213741,-43.946564,26.244274
1.063965,0.359619,0.232178,-27.748091,-20.190840,20.519083
1.062744,0.244629,0.243408,-14.511451,7.251908,13.977099
0.966309,0.234619,0.162109,-1.320611,26.167938,10.679389
0.855713,0.253662,0.086426,6.694656,34.984734,9.496183
0.787842,0.259766,0.144287,21.396946,25.992367,6.175572
0.775391,0.213867,0.145020,26.076336,6.549618,5.885496
0.835937,0.148682,0.216553,23.664122,-7.648855,4.938931
0.903076,0.026855,0.289307,27.198473,-12.129771,8.519084
0.983643,-0.039063,0.320557,41.267174,-8.725191,14.091603
1.028320,-0.004395,0.342041,64.847328,4.473282,16.343512
1.066162,0.135986,0.352295,95.198471,14.435115,11.305344
0.952881,-0.015381,0.145996,112.809158,57.221375,19.893129
0.825439,-0.129639,0.083008,115.938934,86.893127,26.129770
1.466064,0.662598,-0.021484,126.519081,-13.000000,9.816793
0.474365,-0.266846,-1.211182,107.519081,88.221375,29.549618
0.709473,-0.193115,-0.917480,115.648857,129.480911,25.541985
1.561523,0.280762,-2.000000,86.816795,1.534351,19.938931
0.276123,1.507080,1.984314,176.076340,-29.923664,11.541985
1.223145,-0.498291,-2.000000,78.465652,67.396950,32.664124
1.983154,1.038086,-0.677734,118.366409,-95.946564,-7.221374
1.904541,1.198730,0.261963,153.129776,-92.465652,-31.526718
1.866455,0.627930,-0.975098,131.832062,-30.755726,-44.557251
1.030273,0.198486,0.079102,156.366409,132.916031,-47.412212
1.705322,1.190674,0.636230,185.236649,23.244274,-66.847328
0.504639,0.335449,-0.143066,174.389313,138.534348,-50.244274
1.482422,0.517822,-0.431396,177.923660,89.198471,-65.687019
1.395752,0.997070,-0.676758,194.152664,28.801527,-91.633591
1.211914,1.345947,-0.660645,197.358780,8.465649,-112.404579
1.126221,1.593994,-0.874268,184.717560,-1.938931,-128.099243
1.093262,1.629395,-1.059082,132.816788,3.068702,-136.152664
0.906982,1.484619,-1.252930,53.145039,33.419846,-130.557251
0.624023,1.467773,-0.970947,-16.236641,52.083969,-124.083969
0.586426,1.672119,-0.876953,-72.404579,-4.038168,-131.610687
0.646484,1.544434,-1.329102,-161.206100,-41.702290,-127.427483
0.354492,1.252686,-1.143555,-233.809158,-17.641222,-110.106873
0.414795,1.067627,-1.341797,-250.137405,-75.442749,-87.916031
0.258789,0.560059,-0.904785,-250.137405,-50.076336,-59.290077
0.428955,0.105957,-0.480713,-250.137405,-109.412216,-49.381680
0.542725,-0.218750,-0.045898,-250.137405,-136.961838,-56.625954
0.742676,-0.372314,0.043701,-250.137405,-146.648849,-62.145039
0.876953,-0.178955,0.287598,-250.137405,-134.076340,-77.526718
0.786865,0.146729,0.362305,-250.137405,-89.519081,-80.404579
0.639404,0.494141,0.381348,-250.137405,-66.022903,-66.160309
0.559082,0.688965,0.469238,-250.137405,-56.618320,-56.648853
0.522705,0.655518,0.453613,-250.137405,-55.709923,-61.007633
0.472412,0.464355,0.478271,-250.137405,-59.465649,-70.541985
0.422852,0.244385,0.492676,-250.137405,-61.557251,-74.122139
0.404541,0.156494,0.460449,-250.137405,-63.984734,-71.274811
0.384277,0.152100,0.464600,-209.061066,-62.450382,-66.137405
0.401855,0.110840,0.612061,-163.900757,-59.618320,-59.648853
0.438721,0.046387,0.689209,-121.679390,-60.854961,-53.526718
0.492920,0.010254,0.789307,-85.389313,-55.763359,-44.946564
0.531250,0.011475,0.791016,-45.816795,-43.236641,-36.381680
0.520508,-0.017334,0.666748,-10.877863,-28.572519,-25.427481
0.488770,-0.003174,0.579834,15.526717,-23.404581,-8.580153
0.496826,0.035156,0.530762,33.610687,-29.717558,8.251908
0.542725,0.039795,0.468018,46.099236,-37.778625,20.763359
0.592285,0.039307,0.404785,58.603054,-45.244274,28.870230
0.651367,0.093262,0.425537,74.793892,-51.427483,35.564884
0.761230,0.276367,0.433105,84.526718,-60.007633,46.854961
0.942627,0.438965,0.433594,87.000000,-64.511452,53.229008
1.102051,0.471436,0.460937,79.763359,-53.320610,50.656490
1.157471,0.416748,0.436523,78.541985,-32.503819,44.687023
1.119629,0.347168,0.411865,86.656487,-15.374045,41.526718
1.041992,0.388916,0.293213,96.732826,-10.732824,41.442749
1.055176,0.492676,0.301514,94.862595,-15.984733,41.969467
0.914795,0.436035,0.481445,93.442749,16.679390,41.412212
0.774658,0.507812,0.856445,106.824425,19.954199,29.748091
0.970459,-0.153809,-0.275879,63.984734,19.328245,43.396946
0.776611,0.940918,1.984314,119.793892,69.305344,43.595421
0.860352,1.351074,1.984314,120.694656,60.786259,41.564884
-0.100098,0.570801,1.984314,58.526718,128.511444,35.366413
1.392090,-0.311279,-2.000000,-11.694656,-45.335876,22.435114
0.536865,1.716797,1.984314,58.954197,76.167938,34.732826
-0.101074,0.261230,1.743164,-14.564885,123.206108,29.236641
0.043701,0.104980,1.150879,-22.450382,111.786263,20.351145
0.280518,0.891602,1.984314,1.870229,80.106873,15.969465
0.998291,0.814697,0.129639,-25.290077,-64.534348,5.564886
0.042480,-0.005371,0.565918,-62.190838,50.503819,21.770992
1.252930,0.610107,0.830078,-29.106871,-50.801525,-3.274809
0.457520,0.445557,1.187012,28.435114,-39.297710,0.793893
0.545410,0.313232,0.971680,29.129770,2.167939,17.648855
0.734131,0.427979,0.787354,19.984734,31.503817,22.687023
0.785156,0.602051,0.831299,24.190840,48.564884,9.984733
0.763428,0.802979,0.861572,29.450382,31.908398,-5.282443
0.802246,0.892578,0.474609,13.778625,4.282443,-8.099236
0.739014,0.544678,-0.002441,-21.648855,22.763359,3.908397
0.510254,0.358154,0.192139,-23.022902,41.862595,3.335878
0.722656,0.629883,0.318359,-31.114504,-22.770992,-6.603054
0.731201,0.406250,0.194580,-46.206108,-7.671756,9.106871
0.941650,0.626221,0.703613,-28.519083,-26.343512,-7.534351
0.932617,0.384277,0.433594,-50.404579,7.671756,5.496183
1.011719,0.453613,0.555176,-28.061069,6.068702,-5.480916
0.867187,0.305664,0.467285,-9.748092,30.687023,-3.534351
0.855957,0.305176,0.465332,11.053435,28.450382,-1.244275
0.882324,0.394043,0.515381,47.297710,8.854961,-10.244275
0.925537,0.489502,0.552979,64.725189,12.343512,-11.534351
0.939209,0.553955,0.569824,65.603050,24.183207,-13.312977
0.878418,0.572510,0.449707,60.091602,38.671757,-12.351145
0.825195,0.539795,0.512695,57.480915,48.671757,-15.000000
0.750000,0.480713,0.519043,70.129768,48.213741,-21.137405
