ax,ay,az,gx,gy,gz
0.942383,1.290527,1.824707,29.572519,-3.129771,-3.458015
0.526367,1.017090,1.984314,27.480917,22.862595,2.473282
0.171875,0.693604,1.984314,20.419847,47.458015,7.229008
-0.125488,0.313232,1.984314,12.938931,73.091606,10.236641
-0.343262,-0.116455,1.984314,2.954198,92.274811,12.419847
-0.441650,-0.536621,1.984314,-8.954199,99.923668,13.809160
-0.383789,-0.885986,1.984314,-20.885496,100.389313,13.625955
-0.215088,-1.185059,1.984314,-33.297710,95.557251,11.572519
0.021240,-1.378906,1.295898,-46.931297,70.526718,4.458015
0.339355,-1.436523,0.159180,-50.190838,47.633587,-0.854962
0.712891,-1.354004,-0.981689,-51.809162,21.221375,-7.282443
1.117188,-1.183105,-2.000000,-49.603054,-6.061069,-13.618320
1.529785,-0.931641,-2.000000,-45.206108,-31.366413,-18.893129
1.908447,-0.584473,-2.000000,-38.167938,-53.343510,-23.862595
1.984314,-0.184814,-2.000000,-27.801527,-68.175575,-27.648855
1.984314,0.217529,-2.000000,-15.343512,-75.221375,-29.786259
1.984314,0.628418,-2.000000,-6.442748,-77.954201,-29.984734
1.984314,1.031006,-2.000000,1.900763,-71.419846,-29.717558
1.984314,1.300781,-1.979248,15.091603,-40.687023,-24.816793
1.918945,1.406250,-0.905762,19.610687,-14.603053,-21.946566
1.574707,1.420654,0.235596,23.801527,18.038168,-18.358778
1.176270,1.378174,1.285889,21.870230,47.488548,-14.137404
0.795410,1.225586,1.984314,11.862596,72.374046,-10.694656
0.440674,0.944824,1.984314,-2.343511,93.236641,-9.190840
0.105713,0.566650,1.984314,-5.442748,117.870232,-9.290076
-0.172852,0.177979,1.984314,-2.404580,136.206100,-9.923664
-0.348633,-0.180908,1.984314,0.053435,147.786255,-12.114504
-0.423340,-0.552979,1.984314,-3.183206,151.847336,-12.244275
1.593018,-0.751465,-2.000000,-17.038168,124.885498,-16.984734
1.934326,-0.366455,-2.000000,-30.351145,94.541985,-20.603054
1.984314,0.055664,-2.000000,-45.458015,56.786259,-26.129770
1.984314,0.391602,-2.000000,-55.687023,27.473282,-30.419847
1.984314,0.692627,-2.000000,-51.038166,-2.801527,-35.511452
1.984314,1.026367,-2.000000,-28.664122,-24.679390,-42.473282
1.984314,1.308105,-1.574219,-1.977099,-34.793892,-50.076336
1.807861,1.487549,-0.450195,18.099237,-36.633587,-53.862595
1.389893,1.543701,0.636963,30.725191,-39.022900,-52.129772
0.974365,1.468018,1.707275,38.656490,-43.450382,-47.145039
0.585937,1.264160,1.984314,51.786259,-25.251909,-37.854961
0.225830,0.984619,1.984314,54.755726,-3.503817,-30.022902
-0.097412,0.614502,1.984314,55.534351,24.572519,-22.374046
-0.328125,0.144531,1.984314,54.198475,52.656490,-15.839695
-0.426514,-0.342529,1.984314,55.244274,79.000000,-10.908397
-0.354248,-0.749756,1.984314,55.679390,103.274811,-9.343512
-0.167969,-1.040527,1.984314,50.099236,121.061066,-9.137404
0.099121,-1.199463,1.458252,40.503819,128.389313,-10.580153
0.435303,-1.211670,0.183105,25.702290,126.450378,-12.893129
0.825195,-1.111084,-1.110352,11.083969,112.633591,-16.007633
1.272217,-0.924805,-2.000000,-5.656488,70.885498,-24.480917
1.736328,-0.563232,-2.000000,-10.427481,32.458015,-32.312977
1.984314,-0.075439,-2.000000,-9.297709,-8.847328,-41.610687
1.984314,0.403076,-2.000000,-4.435114,-45.877861,-51.816795
1.984314,0.919678,-2.000000,5.664122,-78.450378,-61.618320
1.984314,1.343018,-1.961426,25.244274,-103.320610,-71.152672
1.935547,1.539307,-0.438232,50.755726,-112.717560,-78.519081
1.525146,1.613037,1.140137,76.610687,-107.755722,-85.954201
1.041992,1.430176,1.984314,97.053436,-88.648857,-91.213737
0.575439,1.137451,1.984314,117.931297,-57.549618,-94.725189
0.238525,0.802002,1.984314,136.175568,-1.519084,-95.801529
0.001465,0.390625,1.984314,139.061066,31.343512,-89.740456
-0.058594,-0.018066,1.984314,134.954193,72.396950,-51.801525
0.026611,-0.157959,1.984314,116.862595,101.816795,-56.213741
-0.076416,-0.454346,1.976074,119.732826,90.358780,-66.015266
0.115479,-0.273193,0.748779,91.389313,66.419846,-76.503815
0.397461,-0.092041,-0.432617,55.496181,31.435114,-70.259544
0.835205,0.113281,-1.525879,3.709924,14.847328,-63.007633
1.257324,0.144287,-2.000000,-43.740459,13.320611,-72.396950
1.561035,0.122803,-2.000000,-75.267174,10.404580,-88.641220
1.797119,0.217285,-2.000000,-75.450378,-30.671755,-108.687019
1.977295,0.456787,-2.000000,-60.374046,-58.671757,-118.755722
1.984314,0.762939,-2.000000,-46.221375,-82.000000,-124.923668
1.984314,1.056641,-2.000000,-37.511452,-98.427483,-129.816788
1.984314,1.331299,-2.000000,-33.923664,-107.465652,-133.022903
1.869385,1.560059,-1.687988,-40.778625,-109.450378,-132.358780
1.538330,1.763916,-0.525635,-54.977100,-106.236641,-127.312981
1.182617,1.868896,0.653564,-70.022903,-100.664124,-118.396950
0.843262,1.814941,1.702393,-91.106873,-87.259544,-110.458015
0.508545,1.640137,1.984314,-112.198471,-67.847328,-106.603050
0.179687,1.395020,1.984314,-128.000000,-18.160305,-102.053436
-0.114014,1.150146,1.984314,-136.328247,11.664123,-102.068703
-0.360107,0.871094,1.984314,-141.916031,38.137405,-101.793892
-0.544434,0.585693,1.984314,-153.137405,56.603054,-100.465652
-0.634766,0.327881,1.984314,-164.496185,65.641220,-99.862595
-0.622559,0.050537,1.984314,-172.961838,66.022903,-102.267174
-0.519775,-0.225342,1.984314,-181.916031,58.061069,-106.572517
-0.360352,-0.395508,1.614258,-184.175568,47.076336,-111.175575
-0.165771,-0.434326,0.585205,-187.847336,30.038168,-114.427483
0.087646,-0.387207,-0.458740,-193.633591,13.641221,-116.824425
0.359863,-0.293701,-1.517578,-197.732819,-25.862595,-123.633591
0.614990,-0.214600,-2.000000,-193.328247,-41.877861,-124.961830
0.910645,-0.080811,-2.000000,-183.885498,-64.183205,-126.122139
1.201416,0.078369,-2.000000,-170.152664,-83.679390,-129.526718
1.447998,0.217041,-2.000000,-154.183212,-98.488548,-135.282440
1.617432,0.330322,-2.000000,-136.671753,-106.183205,-139.083969
1.709229,0.432129,-2.000000,-117.366409,-101.480919,-137.618317
1.739746,0.625244,-2.000000,-98.114502,-94.717560,-132.916031
1.714844,0.843750,-2.000000,-81.396950,-86.961830,-124.404579
1.654541,1.039063,-2.000000,-68.450378,-85.358780,-114.541985
1.586182,1.175293,-2.000000,-63.938931,-89.076332,-105.068703
1.509277,1.255615,-2.000000,-55.251907,-84.977097,-94.473282
1.438232,1.323975,-1.743896,-55.748093,-85.679390,-86.755722
1.373291,1.316162,-1.204102,-55.465649,-85.580154,-81.099236
1.320801,1.319092,-0.660889,-50.908398,-81.473282,-75.969467
1.253418,1.447021,-0.139893,-35.145039,-73.557251,-73.259544
1.158203,1.579346,0.255615,-25.465649,-65.618324,-71.740456
1.019287,1.634766,0.687500,-26.633587,-57.366413,-68.145035
0.846924,1.636963,1.183105,-34.877861,-48.213741,-58.656490
0.677979,1.623047,1.683350,-41.251907,-37.381680,-46.061069
0.548584,1.529541,1.984314,-51.328243,-30.366413,-32.450382
-1.032959,-0.150635,1.984314,-52.770992,-4.977099,-17.656488
-0.935059,-0.205811,1.984314,-32.335876,3.977099,-12.641221
-0.826172,-0.175781,1.984314,-11.595420,15.259542,-9.183207
-0.777588,-0.129150,1.984314,-6.625954,33.267174,-9.977099
-0.797852,-0.195557,1.984314,-14.679389,48.702290,-6.778626
-0.804443,-0.283203,1.984314,-28.198473,56.412212,2.702290
-0.762451,-0.346680,1.984314,-33.305344,66.045799,13.458015
-0.667236,-0.375732,1.984314,-31.038168,71.526718,21.122137
-0.540039,-0.439453,1.984314,-32.503819,77.625954,23.717558
-0.456055,-0.540283,1.835205,-28.816793,86.267174,25.595419
-0.394287,-0.607910,1.541260,-36.145039,106.458015,32.709923
-0.352783,-0.561279,1.205566,-30.229008,119.251907,37.198475
-0.399170,-0.649658,0.742676,-40.664124,120.648857,42.274811
-0.388184,-0.788818,0.423828,-59.374046,115.175575,58.725189
-0.253418,-0.841309,0.221924,-61.656490,103.526718,73.770996
-0.049072,-0.809326,0.081787,-40.160305,100.389313,78.694656
0.143066,-0.687012,-0.142334,-4.656488,101.877861,72.534348
0.272217,-0.682861,-0.516113,21.931297,100.847328,60.381680
0.340332,-0.731445,-0.957031,49.877861,95.007637,50.694656
0.464844,-0.616455,-1.372803,79.427483,85.175575,44.580154
0.615967,-0.354980,-1.777588,89.480919,61.847328,32.648853
0.733398,-0.215820,-2.000000,71.679390,53.679390,23.595419
0.823975,-0.169434,-2.000000,37.145039,42.122139,17.038168
0.945557,-0.203613,-2.000000,12.496183,32.580154,22.435114
1.164307,-0.267090,-2.000000,-3.496183,26.068703,29.519083
1.370117,-0.214355,-2.000000,19.259542,17.083969,20.106871
1.504395,-0.064453,-2.000000,46.450382,5.786260,9.969465
1.612305,0.168457,-2.000000,56.061069,-0.038168,3.610687
1.686523,0.394287,-2.000000,54.206108,-7.534351,-2.564885
1.718018,0.601807,-2.000000,44.595421,-18.106871,-4.374046
1.725098,0.780029,-2.000000,41.160305,-46.519085,-9.099236
1.725586,1.005615,-2.000000,27.412214,-62.221375,-13.488549
1.685059,1.202637,-2.000000,8.229008,-79.351143,-17.854961
1.617676,1.397705,-2.000000,-6.809160,-94.702293,-17.366413
1.583984,1.590088,-1.939453,-10.656488,-109.793892,-16.137405
1.547607,1.639404,-1.428955,-13.854961,-117.748093,-16.740458
1.476563,1.585693,-0.856201,-13.076336,-115.916031,-11.854961
1.393311,1.599365,-0.314453,-1.213740,-107.870232,-3.877863
1.284912,1.687256,0.207275,14.236641,-97.519081,-0.419847
1.151367,1.809326,0.728027,26.061069,-89.000000,1.396947
1.019531,1.913818,1.212158,39.534351,-70.282440,3.816794
0.885742,1.964600,1.691406,39.137405,-66.557251,0.557252
0.760010,1.953369,1.984314,34.297710,-61.137405,-2.022901
0.641846,1.892334,1.984314,30.748091,-52.541985,-4.236641
